max_population,selection_strategy,num_of_crossovers_per_generation,mutation_probability,problem_difficulty,runs,average_time(success),success_rate
5,fitness_proportionate_selection,2,0.4,easy,50,0.06463977999996132,100.0
5,fitness_proportionate_selection,2,0.4,hard,50,0.45273338775535066,98.0
5,fitness_proportionate_selection,2,0.5,easy,50,0.0750123000000167,100.0
5,fitness_proportionate_selection,2,0.5,hard,50,0.5130409800000416,100.0
5,fitness_proportionate_selection,2,0.6,easy,50,0.1035983673467928,98.0
5,fitness_proportionate_selection,2,0.6,hard,50,0.7108761199999207,100.0
5,fitness_proportionate_selection,2,0.7,easy,50,0.27844782000011037,100.0
5,fitness_proportionate_selection,2,0.7,hard,50,1.1235217959183872,98.0
5,fitness_proportionate_selection,2,0.8,easy,50,0.12382603999994898,100.0
5,fitness_proportionate_selection,2,0.8,hard,50,2.0004302340427222,94.0
5,fitness_proportionate_selection,3,0.01,easy,50,0.49710582978727,94.0
5,fitness_proportionate_selection,3,0.01,hard,50,1.4111755714285599,42.0
5,fitness_proportionate_selection,3,0.05,easy,50,0.2141267083331968,96.0
5,fitness_proportionate_selection,3,0.05,hard,50,1.4401774871796824,78.0
5,fitness_proportionate_selection,3,0.1,easy,50,0.1521756800001458,100.0
5,fitness_proportionate_selection,3,0.1,hard,50,0.8544693617020923,94.0
5,fitness_proportionate_selection,3,0.2,easy,50,0.0957293061223472,98.0
5,fitness_proportionate_selection,3,0.2,hard,50,0.5280378958333737,96.0
5,fitness_proportionate_selection,3,0.3,easy,50,0.053059460000076795,100.0
5,fitness_proportionate_selection,3,0.3,hard,50,0.42796199999993406,100.0
5,fitness_proportionate_selection,3,0.4,easy,50,0.05894774000000325,100.0
5,fitness_proportionate_selection,3,0.4,hard,50,0.4495606399998724,100.0
5,fitness_proportionate_selection,3,0.5,easy,50,0.06548106000002007,100.0
5,fitness_proportionate_selection,3,0.5,hard,50,0.40432740816330043,98.0
5,fitness_proportionate_selection,3,0.6,easy,50,0.05877219999998488,100.0
5,fitness_proportionate_selection,3,0.6,hard,50,0.458653645833427,96.0
5,fitness_proportionate_selection,3,0.7,easy,50,0.07662101999994775,100.0
5,fitness_proportionate_selection,3,0.7,hard,50,0.5097301041666166,96.0
5,fitness_proportionate_selection,3,0.8,easy,50,0.0752896999999939,100.0
5,fitness_proportionate_selection,3,0.8,hard,50,0.729042714285762,98.0
5,simple_sort,1,0.01,easy,50,0.22883428571414177,70.0
5,simple_sort,1,0.01,hard,50,0.7539784999994481,8.0
5,simple_sort,1,0.05,easy,50,0.19869653333326925,90.0
5,simple_sort,1,0.05,hard,50,0.9520208499998262,40.0
5,simple_sort,1,0.1,easy,50,0.09420844444442385,90.0
5,simple_sort,1,0.1,hard,50,0.8310291111111433,72.0
5,simple_sort,1,0.2,easy,50,0.05857372000002215,100.0
5,simple_sort,1,0.2,hard,50,0.43474582978710036,94.0
5,simple_sort,1,0.3,easy,50,0.049941895833285344,96.0
5,simple_sort,1,0.3,hard,50,0.21389644897940993,98.0
5,simple_sort,1,0.4,easy,50,0.04631945999990421,100.0
5,simple_sort,1,0.4,hard,50,0.2746128958333429,96.0
5,simple_sort,1,0.5,easy,50,0.041403560000071594,100.0
5,simple_sort,1,0.5,hard,50,0.3310237659574186,94.0
5,simple_sort,1,0.6,easy,50,0.06683512244916881,98.0
5,simple_sort,1,0.6,hard,50,0.47654772916670635,96.0
5,simple_sort,1,0.7,easy,50,0.05565043999991758,100.0
5,simple_sort,1,0.7,hard,50,0.9200433333332209,96.0
5,simple_sort,1,0.8,easy,50,0.11693473469379996,98.0
5,simple_sort,1,0.8,hard,50,1.3955101463414883,82.0
5,simple_sort,2,0.01,easy,50,0.6369562352938374,34.0
5,simple_sort,2,0.01,hard,50,0.7457001428571987,14.000000000000002
5,simple_sort,2,0.05,easy,50,0.3087551627906028,86.0
5,simple_sort,2,0.05,hard,50,1.0832221764702648,34.0
5,simple_sort,2,0.1,easy,50,0.18561870212772888,94.0
5,simple_sort,2,0.1,hard,50,0.9768591111110759,72.0
5,simple_sort,2,0.2,easy,50,0.08345410204069316,98.0
5,simple_sort,2,0.2,hard,50,1.3045523249998496,80.0
5,simple_sort,2,0.3,easy,50,0.038274571428478434,98.0
5,simple_sort,2,0.3,hard,50,0.35516168749988236,96.0
5,simple_sort,2,0.4,easy,50,0.05180629166655611,96.0
5,simple_sort,2,0.4,hard,50,0.23175871999992523,100.0
5,simple_sort,2,0.5,easy,50,0.035896820000089064,100.0
5,simple_sort,2,0.5,hard,50,0.165108812499966,96.0
5,simple_sort,2,0.6,easy,50,0.023395739999868964,100.0
5,simple_sort,2,0.6,hard,50,0.15653516326528916,98.0
5,simple_sort,2,0.7,easy,50,0.03375051999995776,100.0
5,simple_sort,2,0.7,hard,50,0.17924470000001747,100.0
5,simple_sort,2,0.8,easy,50,0.03519302000000607,100.0
5,simple_sort,2,0.8,hard,50,0.17237999999986187,96.0
5,simple_sort,3,0.01,easy,50,0.09745324999994409,8.0
5,simple_sort,3,0.01,hard,50,1.7052509999994072,2.0
5,simple_sort,3,0.05,easy,50,0.31707671428570655,84.0
5,simple_sort,3,0.05,hard,50,1.2543082105262569,38.0
5,simple_sort,3,0.1,easy,50,0.21348376086976,92.0
5,simple_sort,3,0.1,hard,50,0.793572848484914,66.0
5,simple_sort,3,0.2,easy,50,0.16977093181830324,88.0
5,simple_sort,3,0.2,hard,50,1.1324498823528568,68.0
5,simple_sort,3,0.3,easy,50,0.052453122448965515,98.0
